position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Kilmarnock H&AC,2,M,1,1,24,25,1,http://www.kilmarnockharriers.com/
2,Law & District AAC,37,M,2,2,24,26,1,
3,East Kilbride AC,1,M,,0,36,36,0,http://www.ekac.org.uk/
4,Helensburgh AAC,32,M,,0,36,36,0,
5,Irvine RC,33,M,,0,36,36,0,
6,Kilbarchan AAC,34,M,,0,36,36,0,
7,Kirkintilloch Olympians,35,M,,0,36,36,0,
8,Larkhall YMCA,36,M,,0,36,36,0,
9,Maryhill Harriers,38,M,,0,36,36,0,
10,Mid Argyll AAC,39,M,,0,36,36,0,
11,Motherwell AC,40,M,,0,36,36,0,
12,Mull AC,41,M,,0,36,36,0,
13,Newton Road Runners,42,M,,0,36,36,0,
14,Nithsdale AC,43,M,,0,36,36,0,
15,North Ayrshire AAC,44,M,,0,36,36,0,
16,Red Star AC,45,M,,0,36,36,0,
17,Royal Mail Run GMC,46,M,,0,36,36,0,
18,Scottish Fire & Rescue Service AC,47,M,,0,36,36,0,
19,Springburn Harriers,48,M,,0,36,36,0,
20,Stewartry AC,49,M,,0,36,36,0,
21,Strathaven Striders,50,M,,0,36,36,0,
22,Strathclyde Police AC,51,M,,0,36,36,0,
23,Strathclyde University Harriers,52,M,,0,36,36,0,
24,Troon Tortoises,53,M,,0,36,36,0,
25,VP-Glasgow,54,M,,0,36,36,0,
26,West Dunbartonshire AC,55,M,,0,36,36,0,
27,Hamilton Harriers,31,M,,0,36,36,0,
28,Greenock Glenpark Harriers,30,M,,0,36,36,0,
29,Glasgow University Hares and Hounds,29,M,,0,36,36,0,
30,Glasgow Triathlon Club,28,M,,0,36,36,0,
31,Bellahouston RR,3,M,,0,36,36,0,https://www.bellahoustonroadrunners.co.uk/
32,Inverclyde AC,4,M,,0,36,36,0,
33,Westerlands CCC,5,M,,0,36,36,0,
34,Cambuslang Harriers,6,M,,0,36,36,0,
35,Giffnock North AC,7,M,,0,36,36,0,
36,Bellahouston Harriers,8,M,,0,36,36,0,
37,Garscube Harriers,9,M,,0,36,36,0,
38,Shettleston Harriers,10,M,,0,36,36,0,
39,Airdrie Harriers,11,M,,0,36,36,0,
40,Annan and District AC,12,M,,0,36,36,0,
41,Arran Runners,13,M,,0,36,36,0,
42,Ayr Seaforth AC,14,M,,0,36,36,0,
43,Ayrodynamic Triathlon Club,15,M,,0,36,36,0,
44,Beith Harriers,16,M,,0,36,36,0,
45,Calderglen Harriers,17,M,,0,36,36,0,
46,Campbeltown Running Club,18,M,,0,36,36,0,
47,Clydesdale Harriers,19,M,,0,36,36,0,
48,Cumbernauld AAC,20,M,,0,36,36,0,
49,Dumbarton AAC,21,M,,0,36,36,0,
50,Dumfries Harriers,22,M,,0,36,36,0,
51,Dumfries Running Club,23,M,,0,36,36,0,
52,Galloway Harriers AAC,24,M,,0,36,36,0,
53,Girvan AC,25,M,,0,36,36,0,
54,Glasgow Caledonian University AC,26,M,,0,36,36,0,
55,Glasgow FrontRunners,27,M,,0,36,36,0,
56,West End RR,56,M,,0,36,36,0,
57,Whitemoss AAC,57,M,,0,36,36,0,
