position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Shettleston Harriers,10,F,"4,16,17",37,0,37,4,
2,Giffnock North AC,7,F,"2,19,20",41,0,41,10,
3,East Kilbride AC,1,F,"5,18,22",45,0,45,9,http://www.ekac.org.uk/
4,Springburn Harriers,48,F,"1,8,49",58,0,58,4,
5,Airdrie Harriers,11,F,"9,23,31",63,0,63,7,
6,Inverclyde AC,4,F,"14,21,37",72,0,72,4,
7,Kilmarnock H&AC,2,F,"6,13",19,68,87,2,http://www.kilmarnockharriers.com/
8,Law & District AAC,37,F,"15,27,46",88,0,88,5,
9,VP-Glasgow,54,F,"11,24",35,68,103,2,
10,Ayr Seaforth AC,14,F,"3,33",36,68,104,2,
11,Cambuslang Harriers,6,F,"10,50,53",113,0,113,3,
12,North Ayrshire AAC,44,F,"12,38",50,68,118,2,
13,Kilbarchan AAC,34,F,7,7,136,143,1,
14,Larkhall YMCA,36,F,39,39,136,175,1,
15,Whitemoss AAC,57,F,"54,56",110,68,178,2,
16,Beith Harriers,16,F,,0,204,204,0,
17,Mid Argyll AAC,39,F,,0,204,204,0,
18,Motherwell AC,40,F,,0,204,204,0,
19,Mull AC,41,F,,0,204,204,0,
20,Newton Road Runners,42,F,,0,204,204,0,
21,Nithsdale AC,43,F,,0,204,204,0,
22,Bellahouston Harriers,8,F,,0,204,204,0,
23,Red Star AC,45,F,,0,204,204,0,
24,Royal Mail Run GMC,46,F,,0,204,204,0,
25,Scottish Fire & Rescue Service AC,47,F,,0,204,204,0,
26,Westerlands CCC,5,F,,0,204,204,0,
27,Stewartry AC,49,F,,0,204,204,0,
28,Strathaven Striders,50,F,,0,204,204,0,
29,Strathclyde Police AC,51,F,,0,204,204,0,
30,Strathclyde University Harriers,52,F,,0,204,204,0,
31,Troon Tortoises,53,F,,0,204,204,0,
32,Bellahouston RR,3,F,,0,204,204,0,https://www.bellahoustonroadrunners.co.uk/
33,West Dunbartonshire AC,55,F,,0,204,204,0,
34,Maryhill Harriers,38,F,,0,204,204,0,
35,Garscube Harriers,9,F,,0,204,204,0,
36,Annan and District AC,12,F,,0,204,204,0,
37,Kirkintilloch Olympians,35,F,,0,204,204,0,
38,Calderglen Harriers,17,F,,0,204,204,0,
39,Campbeltown Running Club,18,F,,0,204,204,0,
40,Clydesdale Harriers,19,F,,0,204,204,0,
41,Cumbernauld AAC,20,F,,0,204,204,0,
42,Dumbarton AAC,21,F,,0,204,204,0,
43,Dumfries Harriers,22,F,,0,204,204,0,
44,Dumfries Running Club,23,F,,0,204,204,0,
45,Galloway Harriers AAC,24,F,,0,204,204,0,
46,Ayrodynamic Triathlon Club,15,F,,0,204,204,0,
47,Girvan AC,25,F,,0,204,204,0,
48,Glasgow FrontRunners,27,F,,0,204,204,0,
49,Glasgow Triathlon Club,28,F,,0,204,204,0,
50,West End RR,56,F,,0,204,204,0,
51,Greenock Glenpark Harriers,30,F,,0,204,204,0,
52,Hamilton Harriers,31,F,,0,204,204,0,
53,Helensburgh AAC,32,F,,0,204,204,0,
54,Irvine RC,33,F,,0,204,204,0,
55,Arran Runners,13,F,,0,204,204,0,
56,Glasgow Caledonian University AC,26,F,,0,204,204,0,
57,Glasgow University Hares and Hounds,29,F,,0,204,204,0,
