Team,Points,Club,ParticipantPoints,TeamParticipants,PenaltyPoints,EventPoints
7F,,Giffnock North AC,11.0,3.0,0.0,11.0
44F,,North Ayrshire AAC,42.0,3.0,0.0,42.0
4F,,Inverclyde AC,49.0,3.0,0.0,49.0
11F,,Airdrie Harriers,54.0,3.0,0.0,54.0
37F,,Law & District AAC,59.0,3.0,0.0,59.0
2F,,Kilmarnock H&AC,72.0,3.0,0.0,72.0
34F,,Kilbarchan AAC,79.0,3.0,0.0,79.0
57F,,Whitemoss AAC,100.0,3.0,0.0,100.0
9F,,Garscube Harriers,1.0,1.0,124.0,125.0
10F,,Shettleston Harriers,66.0,2.0,62.0,128.0
1F,,East Kilbride AC,68.0,2.0,62.0,130.0
54F,,VP-Glasgow,13.0,1.0,124.0,137.0
14F,,Ayr Seaforth AC,20.0,1.0,124.0,144.0
48F,,Springburn Harriers,33.0,1.0,124.0,157.0
36F,,Larkhall YMCA,50.0,1.0,124.0,174.0
