Team,Points,Club,ParticipantPoints,TeamParticipants,PenaltyPoints,EventPoints
7M,,Giffnock North AC,11.0,3.0,0.0,11.0
1M,,East Kilbride AC,31.0,3.0,0.0,31.0
54M,,VP-Glasgow,33.0,3.0,0.0,33.0
2M,,Kilmarnock H&AC,36.0,3.0,0.0,36.0
37M,,Law & District AAC,51.0,3.0,0.0,51.0
4M,,Inverclyde AC,31.0,2.0,49.0,80.0
11M,,Airdrie Harriers,56.0,2.0,49.0,105.0
9M,,Garscube Harriers,18.0,1.0,98.0,116.0
6M,,Cambuslang Harriers,28.0,1.0,98.0,126.0
10M,,Shettleston Harriers,29.0,1.0,98.0,127.0
36M,,Larkhall YMCA,31.0,1.0,98.0,129.0
48M,,Springburn Harriers,34.0,1.0,98.0,132.0
