position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Airdrie Harriers,11,F,"2,4,11",17,0,17,4,
2,Giffnock North AC,7,F,"5,6,9",20,0,20,4,
3,Kilbarchan AAC,34,F,"1,3,19",23,0,23,3,
4,East Kilbride AC,1,F,"7,12,20",39,0,39,5,http://www.ekac.org.uk/
5,Law & District AAC,37,F,"15,21,29",65,0,65,3,
6,Shettleston Harriers,10,F,"14,17",31,40,71,2,
7,Cambuslang Harriers,6,F,"10,22",32,40,72,2,
8,North Ayrshire AAC,44,F,"16,24",40,40,80,2,
9,Springburn Harriers,48,F,8,8,80,88,1,
10,VP-Glasgow,54,F,18,18,80,98,1,
11,Kilmarnock H&AC,2,F,25,25,80,105,1,http://www.kilmarnockharriers.com/
12,Garscube Harriers,9,F,26,26,80,106,1,
13,Larkhall YMCA,36,F,27,27,80,107,1,
14,Kirkintilloch Olympians,35,F,,0,120,120,0,
15,Newton Road Runners,42,F,,0,120,120,0,
16,Maryhill Harriers,38,F,,0,120,120,0,
17,Mid Argyll AAC,39,F,,0,120,120,0,
18,Motherwell AC,40,F,,0,120,120,0,
19,Mull AC,41,F,,0,120,120,0,
20,Scottish Fire & Rescue Service AC,47,F,,0,120,120,0,
21,Red Star AC,45,F,,0,120,120,0,
22,Royal Mail Run GMC,46,F,,0,120,120,0,
23,Irvine RC,33,F,,0,120,120,0,
24,Stewartry AC,49,F,,0,120,120,0,
25,Strathaven Striders,50,F,,0,120,120,0,
26,Strathclyde Police AC,51,F,,0,120,120,0,
27,Strathclyde University Harriers,52,F,,0,120,120,0,
28,Troon Tortoises,53,F,,0,120,120,0,
29,West Dunbartonshire AC,55,F,,0,120,120,0,
30,Nithsdale AC,43,F,,0,120,120,0,
31,Helensburgh AAC,32,F,,0,120,120,0,
32,Glasgow University Hares and Hounds,29,F,,0,120,120,0,
33,Greenock Glenpark Harriers,30,F,,0,120,120,0,
34,Bellahouston RR,3,F,,0,120,120,0,https://www.bellahoustonroadrunners.co.uk/
35,Inverclyde AC,4,F,,0,120,120,0,
36,Westerlands CCC,5,F,,0,120,120,0,
37,Bellahouston Harriers,8,F,,0,120,120,0,
38,Annan and District AC,12,F,,0,120,120,0,
39,Arran Runners,13,F,,0,120,120,0,
40,Ayr Seaforth AC,14,F,,0,120,120,0,
41,Ayrodynamic Triathlon Club,15,F,,0,120,120,0,
42,Beith Harriers,16,F,,0,120,120,0,
43,Calderglen Harriers,17,F,,0,120,120,0,
44,Hamilton Harriers,31,F,,0,120,120,0,
45,Campbeltown Running Club,18,F,,0,120,120,0,
46,Cumbernauld AAC,20,F,,0,120,120,0,
47,Dumbarton AAC,21,F,,0,120,120,0,
48,Dumfries Harriers,22,F,,0,120,120,0,
49,Dumfries Running Club,23,F,,0,120,120,0,
50,Galloway Harriers AAC,24,F,,0,120,120,0,
51,Girvan AC,25,F,,0,120,120,0,
52,Glasgow Caledonian University AC,26,F,,0,120,120,0,
53,Glasgow FrontRunners,27,F,,0,120,120,0,
54,Glasgow Triathlon Club,28,F,,0,120,120,0,
55,West End RR,56,F,,0,120,120,0,
56,Clydesdale Harriers,19,F,,0,120,120,0,
57,Whitemoss AAC,57,F,,0,120,120,0,
