position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Cambuslang Harriers,6,F,"3,8,10",21,0,21,3,https://cambuslangharriers.org/
2,West End RR,56,F,"2,12,16",30,0,30,3,https://www.westendroadrunners.co.uk/
3,East Kilbride AC,1,F,"5,11,19",35,0,35,3,http://www.ekac.org.uk/
4,Bellahouston Harriers,8,F,"7,17,20",44,0,44,3,http://www.bellahoustonharriers.co.uk/
5,Springburn Harriers,48,F,1,1,62,63,1,https://www.springburnharriers.co.uk/
6,Bellahouston RR,3,F,"14,18",32,31,63,2,https://www.bellahoustonroadrunners.co.uk/
7,Giffnock North AC,7,F,4,4,62,66,1,https://www.giffnocknorth.co.uk/
8,Law & District AAC,37,F,6,6,62,68,1,http://www.lawaac.co.uk/
9,North Ayrshire AAC,44,F,9,9,62,71,1,https://naathletics.co.uk/
10,Whitemoss AAC,57,F,13,13,62,75,1,https://whitemossaac.co.uk/
11,Troon Tortoises,53,F,15,15,62,77,1,https://www.ayrseaforth.co.uk/
12,Westerlands CCC,5,F,21,21,62,83,1,https://westerlandsccc.co.uk/
