,times
0,0:23:31
1,0:24:12
2,0:24:24
3,0:24:43
4,0:24:47
5,0:24:58
6,0:25:04
7,0:25:05
8,0:25:16
9,0:25:28
10,0:25:33
11,0:25:35
12,0:26:11
13,0:26:15
14,0:26:20
15,0:26:38
16,0:26:43
17,0:26:45
18,0:26:46
19,0:26:56
20,0:27:08
21,0:27:31
22,0:27:32
23,0:27:34
24,0:27:51
25,0:28:01
26,0:28:04
27,0:28:06
28,0:28:19
29,0:28:21
30,0:28:26
31,0:28:29
32,0:28:35
33,0:28:46
34,0:28:51
35,0:28:57
36,0:29:03
37,0:29:05
38,0:29:18
39,0:29:19
40,0:29:21
41,0:29:23
42,0:29:29
43,0:29:32
44,0:29:34
45,0:29:37
46,0:29:44
47,0:29:45
48,0:30:01
49,0:30:16
50,0:30:27
51,0:30:33
52,0:30:48
53,0:30:57
54,0:31:01
55,0:31:01
56,0:31:10
57,0:31:21
58,0:31:32
59,0:31:36
60,0:31:38
61,0:31:42
62,0:31:44
63,0:31:52
64,0:31:55
65,0:32:09
66,0:32:16
67,0:32:16
68,0:32:21
69,0:32:40
70,0:32:45
71,0:32:51
72,0:32:54
73,0:32:55
74,0:32:58
75,0:33:09
76,0:33:17
77,0:33:19
78,0:33:28
79,0:33:28
80,0:33:34
81,0:33:40
82,0:33:52
83,0:33:58
84,0:33:58
85,0:34:04
86,0:34:16
87,0:34:22
88,0:34:31
89,0:34:33
90,0:34:38
91,0:34:46
92,0:34:46
93,0:34:58
94,0:35:08
95,0:35:16
96,0:35:19
97,0:35:27
98,0:35:31
99,0:35:42
100,0:36:05
101,0:36:22
102,0:36:44
103,0:36:49
104,0:36:58
105,0:37:01
106,0:37:02
107,0:37:03
108,0:37:10
109,0:37:20
110,0:37:22
111,0:37:23
112,0:37:32
113,0:37:32
114,0:37:33
115,0:37:40
116,0:38:04
117,0:38:06
118,0:38:42
119,0:38:58
120,0:39:04
121,0:39:09
122,0:39:52
123,0:39:58
124,0:42:21
125,0:42:40
126,0:45:39
127,0:46:11
