,team
0,14F
1,34F
2,7F
3,37F
4,1F
5,2F
6,54F
7,7F
8,7F
9,7F
10,7F
11,11F
12,4F
13,1F
14,1F
15,7F
16,1F
17,1F
18,37F
19,7F
20,6F
21,11F
22,1F
23,4F
24,48F
25,37F
26,7F
27,11F
28,14F
29,6F
30,7F
31,11F
32,11F
33,37F
34,11F
35,2F
