,team
0,7M
1,6M
2,6M
3,37M
4,1M
5,37M
6,1M
7,14M
8,10M
9,14F
10,14M
11,1F
12,6M
13,2F
14,6F
15,1F
16,2M
17,11M
18,2F
19,11M
20,2F
21,11M
22,1F
