,times
0,0:16:47
1,0:17:25
2,0:17:47
3,0:17:58
4,0:18:04
5,0:18:05
6,0:18:10
7,0:19:09
8,0:19:19
9,0:19:36
10,0:19:55
11,0:20:26
12,0:21:00
13,0:21:50
14,0:22:05
15,0:22:07
16,0:22:30
17,0:22:50
18,0:24:06
19,0:24:42
20,0:24:50
21,0:25:24
22,0:25:34
