,times
0,0:12:21
1,0:13:05
2,0:13:07
3,0:13:12
4,0:13:13
5,0:13:32
6,0:13:41
7,0:13:48
8,0:13:53
9,0:14:05
10,0:14:07
11,0:14:08
12,0:14:13
13,0:14:28
14,0:14:36
15,0:14:42
16,0:14:48
17,0:14:57
18,0:15:24
19,0:15:40
20,0:15:43
21,0:15:46
22,0:15:54
23,0:15:59
24,0:16:00
25,0:16:01
26,0:16:14
27,0:16:45
28,0:16:50
29,0:16:54
30,0:16:58
31,0:17:00
32,0:17:17
33,0:17:21
34,0:17:54
35,0:17:59
36,0:18:03
37,0:18:35
38,0:19:29
39,0:19:32
40,0:20:15
41,0:20:21
