,team
0,1M
1,48M
2,44M
3,2M
4,6M
5,48M
6,10M
7,6M
8,14M
9,49M
10,4M
11,1M
12,14M
13,2M
14,34M
15,6M
16,10F
17,7M
18,1M
19,37M
20,34F
21,11M
22,14F
23,34M
24,36M
25,1F
26,7F
27,37F
28,1F
29,4F
30,54M
31,1M
32,11F
33,1F
34,1M
35,10F
36,34M
37,34M
38,2F
39,2F
40,7F
41,2F
