,team
0,9F
1,7F
2,7F
3,7F
4,7F
5,7F
6,7F
7,44F
8,48F
9,7F
10,4F
11,4F
12,37F
13,44F
14,7F
15,4F
16,14F
17,7F
18,9F
19,44F
20,49F
21,57F
22,7F
23,57F
24,37F
25,11F
26,48F
27,37F
28,1F
29,2F
30,11F
31,48F
32,11F
33,7F
34,4F
35,11F
