,team
0,7M
1,6M
2,7M
3,10M
4,1M
5,2M
6,54M
7,6M
8,2M
9,7M
10,2M
11,54M
12,10M
13,14M
14,6M
15,30M
16,6M
17,10M
18,5M
19,1M
20,1M
21,1M
22,4M
23,1M
24,3M
25,37M
26,5M
27,1M
28,1M
29,10M
30,4M
31,5M
32,14F
33,37M
34,14F
35,9M
36,8F
37,2M
38,6M
39,7M
40,17M
41,3M
42,37M
43,14M
44,33M
45,56M
46,4M
47,17M
48,8M
49,53M
50,17M
51,14F
52,10M
53,42M
54,14M
55,48F
56,3M
57,6M
58,5M
59,3M
60,3M
61,14F
62,9M
63,2F
64,2M
65,8M
66,53M
67,1F
68,1M
69,48M
70,17F
71,37F
72,2M
73,46M
74,17F
75,5M
76,37M
77,14M
78,2M
79,7F
80,14F
81,5M
82,8M
83,6M
84,1M
85,37F
86,1M
87,48M
88,53M
89,2F
90,14M
91,14F
92,3M
93,14M
94,2F
95,2F
96,17F
97,3F
98,1F
99,17M
100,1M
101,3F
102,48M
103,8F
104,10M
105,3M
106,3F
107,17F
108,37F
109,6M
110,3F
111,3F
112,37M
113,3M
114,17M
115,6F
116,5F
117,8M
118,17M
119,46M
120,14F
121,53F
122,54M
123,1F
124,17M
125,15F
126,37M
127,8F
