,team
0,7M
1,9M
2,7M
3,48M
4,6M
5,6M
6,37M
7,9M
8,7M
9,14M
10,37M
11,4M
12,10M
13,48M
14,7M
15,10M
16,10M
17,2M
18,14M
19,6M
20,14M
21,44M
22,11M
23,2M
