,team
0,7M
1,6M
2,7M
3,1M
4,7M
5,1M
6,37M
7,7M
8,7M
9,9M
10,4M
11,2M
12,1M
13,48M
14,6M
15,7M
16,2M
17,11M
18,2M
19,7M
20,44M
21,54M
22,10M
23,6M
24,11M
25,11M
26,54M
27,6M
28,7M
29,7M
30,2M
31,6M
32,1M
33,7M
34,2M
35,2M
36,48M
