,team
0,6M
1,34M
2,9M
3,6M
4,6M
5,1M
6,6M
7,37M
8,32M
9,54M
10,1M
11,1M
12,48M
13,34M
14,1F
15,34M
16,11F
17,6M
18,7F
19,34F
20,54M
21,11F
22,37F
23,6M
24,14M
25,11M
26,14M
27,7F
28,32M
29,37F
30,32M
31,48F
32,34F
33,10F
34,1F
35,7M
36,34M
37,54F
38,10M
39,37F
40,11F
41,7F
42,37F
43,2F
44,4F
45,14F
46,4F
47,2F
48,57M
49,48F
50,11F
51,37F
52,57F
