,team
0,7F
1,10F
2,44F
3,7F
4,6F
5,37F
6,1F
7,32F
8,11F
9,2F
10,4F
11,44F
12,7F
13,48F
14,48F
15,7F
16,44F
17,10F
18,2F
19,14F
20,36F
21,7F
22,48F
23,1F
24,54F
25,37F
26,1F
27,44F
28,4F
29,1F
30,37F
31,1F
32,10F
33,4F
34,54F
35,11F
36,37F
37,54F
38,2F
39,44F
40,54F
41,11F
42,7F
43,37F
