,team
0,7M
1,1M
2,4M
3,7M
4,7M
5,34M
6,37M
7,1M
8,34M
9,6M
10,7M
11,34M
12,54M
13,34M
14,10M
15,57M
16,34M
17,7M
18,7M
19,9M
20,14M
21,6M
22,44M
23,14M
24,7M
25,10M
26,7M
27,4M
28,34M
29,11M
30,1M
31,10M
32,37M
33,36M
34,32M
35,17M
36,2M
37,36M
38,4M
39,10M
40,1M
41,32M
42,57M
43,32M
44,32M
45,57M
46,14M
47,10M
