,times
0,0:21:51
1,0:22:21
2,0:22:32
3,0:22:43
4,0:22:48
5,0:23:15
6,0:23:34
7,0:23:50
8,0:24:32
9,0:24:52
10,0:25:15
11,0:25:17
12,0:25:38
13,0:25:45
14,0:25:48
15,0:25:51
16,0:25:55
17,0:25:58
18,0:26:10
19,0:26:12
20,0:26:14
21,0:26:26
22,0:26:27
23,0:26:30
24,0:26:41
25,0:26:45
26,0:26:48
27,0:27:23
28,0:27:31
29,0:27:37
30,0:27:48
31,0:27:53
32,0:28:05
33,0:28:13
34,0:28:20
35,0:28:23
36,0:28:31
37,0:28:31
38,0:28:31
39,0:28:34
40,0:28:36
41,0:28:42
42,0:28:44
43,0:28:46
44,0:28:55
45,0:29:02
46,0:29:05
47,0:29:17
48,0:29:33
49,0:29:40
50,0:29:42
51,0:29:52
52,0:29:55
53,0:30:10
54,0:30:13
55,0:30:15
56,0:30:18
57,0:30:26
58,0:30:35
59,0:30:52
60,0:31:02
61,0:31:09
62,0:31:12
63,0:31:17
64,0:31:21
65,0:31:23
66,0:31:25
67,0:31:36
68,0:31:41
69,0:31:43
70,0:31:45
71,0:31:49
72,0:32:06
73,0:32:26
74,0:32:49
75,0:32:59
76,0:33:01
77,0:33:06
78,0:33:12
79,0:33:22
80,0:33:37
81,0:33:42
82,0:33:42
83,0:33:58
84,0:34:04
85,0:34:17
86,0:34:33
87,0:35:03
88,0:35:13
89,0:35:17
90,0:35:31
91,0:35:31
92,0:36:10
93,0:36:17
94,0:36:39
95,0:37:51
96,0:38:36
97,0:38:50
98,0:40:03
99,0:40:13
100,0:41:54
101,0:47:02
