,team
0,7M
1,37M
2,48M
3,7M
4,7M
5,2M
6,34M
7,37M
8,1M
9,9M
10,40M
11,2M
12,40M
13,34M
14,40M
15,37M
16,34M
17,32M
18,9M
19,34M
20,1M
21,11M
22,34M
23,32M
24,37M
25,1M
26,6M
27,37M
28,36M
29,32M
30,32M
31,37M
32,17M
33,4M
34,11M
