,team
0,6M
1,7M
2,2M
3,4M
4,10M
5,10M
6,33M
7,6M
8,5M
9,5M
10,9M
11,2M
12,4M
13,4M
14,34M
15,5M
16,3M
17,17M
18,7M
19,3M
20,3M
21,6M
22,1M
23,54M
24,3M
25,37M
26,14M
27,7M
28,20F
29,14M
30,8M
31,1M
32,6M
33,37M
34,10F
35,8F
36,6F
37,10M
38,40M
39,6M
40,8M
41,30M
42,2M
43,2M
44,3M
45,9M
46,10M
47,40M
48,6M
49,1F
50,2M
51,1M
52,37F
53,17M
54,57F
55,3F
56,48M
57,37F
58,6F
59,6M
60,2M
61,37M
62,8M
63,11F
64,56M
65,53F
66,8F
67,2F
68,3F
69,1M
70,5M
71,57M
72,1F
73,8M
74,8M
75,17F
76,56M
77,37M
78,2F
79,40M
80,9M
81,30M
82,30F
83,37M
84,30F
85,7F
86,54M
87,8M
88,8F
89,17M
90,8M
91,56F
92,17F
93,17M
94,30M
95,30F
96,54F
97,5F
98,8M
99,36M
100,17M
101,30F
