,times
0,0:10:07
1,0:10:10
2,0:10:17
3,0:10:20
4,0:10:32
5,0:10:33
6,0:10:38
7,0:10:39
8,0:10:58
9,0:10:59
10,0:11:07
11,0:11:07
12,0:11:18
13,0:11:23
14,0:11:23
15,0:11:35
16,0:11:35
17,0:11:40
18,0:11:43
19,0:11:48
20,0:11:50
21,0:11:56
22,0:11:56
23,0:11:58
24,0:12:03
25,0:12:05
26,0:12:05
27,0:12:08
28,0:12:10
29,0:12:10
30,0:12:10
31,0:12:14
32,0:12:17
33,0:12:18
34,0:12:18
35,0:12:23
36,0:12:25
37,0:12:32
38,0:12:35
39,0:12:37
40,0:12:41
41,0:12:48
42,0:12:50
43,0:12:51
44,0:13:04
45,0:13:11
46,0:13:14
47,0:13:14
48,0:13:17
49,0:13:22
50,0:13:28
51,0:13:38
52,0:13:53
53,0:13:57
54,0:14:30
55,0:14:47
56,0:15:38
