,team
0,2M
1,40M
2,1M
3,1M
4,2M
5,10M
6,10M
7,14M
8,5M
9,8M
10,6M
11,1M
12,27M
13,37M
14,5M
15,34M
16,6M
17,5M
18,4M
19,37M
20,37M
21,7F
22,5M
23,2M
24,8M
25,3M
26,2M
27,10M
28,14M
29,32M
30,3M
31,33M
32,4M
33,8M
34,5M
35,32F
36,5M
37,7M
38,14M
39,48F
40,17M
41,53M
42,14F
43,10M
44,6M
45,4F
46,27M
47,33M
48,37M
49,1M
50,6F
51,8F
52,44M
53,10F
54,6F
55,5M
56,6M
57,44M
58,1M
59,30M
60,30M
61,6F
62,1F
63,48F
64,2M
65,1F
66,10M
67,56M
68,37F
69,40M
70,42M
71,53M
72,56F
73,6M
74,3M
75,57M
76,2M
77,27M
78,27M
79,42M
80,42M
81,42M
82,5M
83,37M
84,30M
85,8F
86,6M
87,8M
88,6F
89,53F
90,37F
91,3M
92,10M
93,1M
94,36F
95,3M
96,57F
97,37M
98,37M
99,2M
100,3M
101,8M
102,46F
103,11M
104,2F
105,8F
106,3M
107,1M
108,56M
109,37F
110,40M
111,11F
112,42F
113,57M
114,6M
115,2F
116,2M
117,37M
118,6F
119,5M
120,8M
121,30F
122,10M
123,3F
124,30M
125,44M
126,3F
127,8F
128,4F
129,30F
130,27M
131,4F
132,7F
133,30M
134,8M
135,42M
136,56M
137,56M
138,2F
139,8F
140,53F
141,14F
142,57M
143,4F
144,36M
145,8M
146,14F
147,11M
148,30F
149,8F
150,3F
151,30F
152,30F
