,team
0,1M
1,1M
2,1M
3,6M
4,7F
5,54M
6,1M
7,34M
8,34M
9,2M
10,37M
11,7M
12,32M
13,11F
14,14M
15,7F
16,11F
17,10F
18,36M
19,37F
20,7F
21,32M
22,14M
23,1M
24,4F
25,37F
26,1F
27,11F
28,10M
29,7F
30,11F
31,44F
32,1F
33,1F
34,10F
35,7F
36,10M
37,9F
38,44F
39,2F
40,11F
41,2F
42,14F
43,37F
44,11F
45,2F
46,2F
47,11F
48,57F
49,2F
