,team
0,2M
1,7M
2,1M
3,34M
4,4M
5,34M
6,54M
7,2M
8,2M
9,7M
10,6M
11,44M
12,54M
13,34M
14,7M
15,7M
16,54M
17,48M
18,54M
19,1M
20,6M
21,34M
22,34M
23,34M
24,7M
25,57M
26,17M
27,7M
28,54M
29,54M
30,2M
31,34M
32,7M
33,34M
34,2M
35,36M
36,1M
37,2M
38,10M
39,17M
40,54M
41,36M
42,1M
43,10M
44,2M
45,10M
46,14M
47,2M
48,34M
49,37M
50,57M
51,34M
52,2M
53,57M
54,57M
55,34M
56,54M
57,2M
