,team
0,10M
1,2M
2,44M
3,37M
4,10M
5,14M
6,2M
7,54M
8,6M
9,2M
10,1M
11,1M
12,2M
13,14M
14,4M
15,10F
16,10M
17,37M
18,17M
19,37F
20,2M
21,11M
22,11F
23,36M
24,2F
25,10F
26,30F
27,44F
28,37F
29,30F
30,54F
