,team
0,48M
1,37M
2,11M
3,37M
4,34M
5,4M
6,7M
7,7M
8,1M
9,34M
10,2M
11,2M
12,40M
13,7M
14,11M
15,44M
16,2M
17,2M
18,40M
19,32M
20,4M
21,34M
22,34M
23,1M
24,2M
25,11M
26,2M
27,37M
28,7M
29,17M
30,11M
31,36M
32,11M
33,36M
