,times
0,0:18:12
1,0:18:13
2,0:18:20
3,0:18:21
4,0:18:48
5,0:18:57
6,0:19:14
7,0:19:14
8,0:19:17
9,0:19:19
10,0:19:20
11,0:19:25
12,0:19:34
13,0:19:38
14,0:20:24
15,0:20:40
16,0:20:59
17,0:21:49
18,0:21:54
19,0:22:02
20,0:22:08
21,0:22:52
22,0:22:52
23,0:23:35
24,0:23:41
25,0:23:49
26,0:23:56
27,0:24:40
28,0:25:06
29,0:25:49
30,0:28:52
