,times
0,0:14:13
1,0:14:40
2,0:14:44
3,0:14:49
4,0:15:00
5,0:15:10
6,0:15:23
7,0:15:27
8,0:15:30
9,0:15:32
10,0:15:40
11,0:15:41
12,0:15:41
13,0:15:43
14,0:15:47
15,0:15:51
16,0:16:05
17,0:16:12
18,0:16:13
19,0:16:19
20,0:16:27
21,0:16:44
22,0:16:48
23,0:16:50
24,0:16:51
25,0:16:55
26,0:17:07
27,0:17:10
28,0:17:13
29,0:17:16
30,0:17:23
31,0:17:32
32,0:17:32
33,0:17:41
34,0:17:56
35,0:18:02
36,0:18:16
37,0:18:18
38,0:18:18
39,0:18:34
40,0:18:43
41,0:18:43
42,0:18:45
43,0:18:52
44,0:18:55
45,0:19:28
46,0:20:07
47,0:20:32
48,0:21:41
