1,Total,Club name,Website
23,23,East Kilbride AC,http://www.ekac.org.uk/
52,52,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
69,69,Law & District AAC,http://www.lawaac.co.uk/
70,70,Shettleston Harriers,http://shettlestonharriers.org.uk/
83,83,Motherwell AC,https://motherwellac.com/
112,112,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
113,113,Calderglen Harriers,http://www.calderglenharriers.org.uk/
117,117,Westerlands CCC,https://westerlandsccc.co.uk/
122,122,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
125,125,Cambuslang Harriers,https://cambuslangharriers.org/
131,131,Whitemoss AAC,https://whitemossaac.co.uk/
