1,Total,Club name,Website
37,37,Cambuslang Harriers,https://cambuslangharriers.org/
52,52,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
110,110,East Kilbride AC,http://www.ekac.org.uk/
125,125,Law & District AAC,http://www.lawaac.co.uk/
129,129,Shettleston Harriers,http://shettlestonharriers.org.uk/
132,132,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
145,145,Motherwell AC,https://motherwellac.com/
157,157,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
160,160,Springburn Harriers,https://www.springburnharriers.co.uk/
161,161,Giffnock North AC,https://www.giffnocknorth.co.uk/
165,165,Calderglen Harriers,http://www.calderglenharriers.org.uk/
169,169,Westerlands CCC,https://westerlandsccc.co.uk/
174,174,Airdrie Harriers,http://airdrieharriers.org/
183,183,Larkhall YMCA,https://www.larkhallymcaharriers.org
189,189,Troon Tortoises,http://troontortoises.co.uk
195,195,VP-Glasgow,https://www.vp-glasgow.com
198,198,Inverclyde AC,https://www.inverclydeac.org/
