1,Total,Club name,Website
6,6,Law & District AAC,http://www.lawaac.co.uk/
26,26,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
28,28,Giffnock North AC,https://www.giffnocknorth.co.uk/
57,57,Airdrie Harriers,http://airdrieharriers.org/
61,61,East Kilbride AC,http://www.ekac.org.uk/
83,83,North Ayrshire AAC,https://naathletics.co.uk/
83,83,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
106,106,Larkhall YMCA,https://www.larkhallymcaharriers.org
134,134,Inverclyde AC,https://www.inverclydeac.org/
153,153,Motherwell AC,https://motherwellac.com/
167,167,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
177,177,Shettleston Harriers,http://shettlestonharriers.org.uk/
