,team
0,2M
1,6M
2,1M
3,37M
4,4M
5,10M
6,44M
7,14M
8,40M
9,44M
10,8M
11,4M
12,14M
13,2M
14,8M
15,6M
16,1M
17,1M
18,14M
19,2M
20,14M
21,14M
22,1M
23,30M
24,37M
25,48M
26,11M
27,7M
28,14M
29,1M
30,14M
31,1M
32,10M
33,17M
34,1M
35,1M
36,32M
37,7M
38,1M
39,2M
40,44M
41,50M
42,17M
43,11M
44,2M
