,times
0,0:11:38
1,0:11:50
2,0:11:51
3,0:11:56
4,0:12:00
5,0:12:10
6,0:12:17
7,0:12:20
8,0:12:23
9,0:12:28
10,0:12:33
11,0:12:35
12,0:12:45
13,0:12:47
14,0:12:47
15,0:12:50
16,0:12:53
17,0:12:55
18,0:12:59
19,0:13:01
20,0:13:06
21,0:13:08
22,0:13:11
23,0:13:27
24,0:13:29
25,0:13:35
26,0:13:38
27,0:13:42
28,0:13:47
29,0:13:49
30,0:13:51
31,0:13:51
32,0:13:51
33,0:14:11
34,0:14:16
35,0:14:30
36,0:14:30
37,0:14:46
38,0:14:51
39,0:15:02
40,0:15:22
41,0:15:22
42,0:15:22
43,0:15:25
44,0:15:39
45,0:15:45
46,0:15:48
47,0:16:14
48,0:16:33
49,0:17:02
50,0:18:24
51,0:18:55
52,0:19:02
