,team
0,6M
1,1M
2,6M
3,40M
4,6M
5,6M
6,1M
7,37M
8,37M
9,1M
10,1M
11,10M
12,11F
13,37F
14,32M
15,50M
16,40M
17,1F
18,7M
19,4F
20,10F
21,57F
22,37M
23,37F
24,37F
25,8F
26,2F
