,team
0,37M
1,8M
2,7M
3,30M
4,7M
5,37M
6,14M
7,7M
8,7M
9,14M
10,37M
11,7M
12,10M
13,37M
14,14M
15,50M
16,1M
17,1M
18,40M
19,8M
20,2M
21,48M
22,37M
23,11M
24,37M
25,6M
26,7M
27,1M
28,10M
29,2M
30,2M
31,36M
32,4M
33,40M
34,40M
35,37M
36,6M
37,6M
38,4M
39,10M
40,40M
41,6M
42,2M
43,6M
44,40M
45,7M
46,14M
47,32M
48,14M
49,32M
50,7M
51,40M
52,11M
53,14M
54,44M
55,2M
56,2M
57,37M
