,team
0,2M
1,1M
2,10M
3,2M
4,1M
5,7M
6,10M
7,5M
8,37M
9,1M
10,10M
11,9M
12,14M
13,4M
14,35M
15,3M
16,1M
17,6M
18,10M
19,1M
20,48F
21,1M
22,7M
23,37M
24,8M
25,10M
26,14M
27,8M
28,3M
29,8M
30,8M
31,2M
32,35M
33,6M
34,7F
35,8F
36,7M
37,6F
38,8M
39,8M
40,32M
41,10F
42,31M
43,1M
44,37M
45,6M
46,8M
47,17M
48,1M
49,2M
50,40M
51,17M
52,1F
53,10M
54,37F
55,6F
56,2F
57,8F
58,8M
59,40M
60,53M
61,6F
62,44M
63,2M
64,14M
65,37M
66,6M
67,37F
68,1F
69,6F
70,17M
71,57M
72,50M
73,11F
74,6F
75,37M
76,8M
77,5M
78,2F
79,10F
80,17M
81,8F
82,8F
83,8M
84,57M
85,8F
86,37M
87,11M
88,8F
89,6M
90,17M
91,17M
92,5F
93,36F
94,40M
95,14F
96,14F
97,11M
98,8F
99,1M
100,10M
101,40M
102,40F
103,40F
104,6M
105,53F
106,8M
107,44M
108,8F
109,17F
110,50M
111,1M
112,36M
113,6F
114,54M
115,8F
116,40F
117,17M
118,54F
119,17F
120,1F
121,35M
122,4F
123,5F
124,8F
125,8F
126,17M
127,17F
