,times
0,0:12:15
1,0:12:42
2,0:13:22
3,0:13:34
4,0:13:45
5,0:14:06
6,0:14:25
7,0:14:33
8,0:14:34
9,0:14:59
10,0:15:20
11,0:15:22
12,0:15:26
13,0:15:36
14,0:22:20
