,team
0,7M
1,34M
2,1M
3,17M
4,34M
5,6M
6,7M
7,2M
8,10M
9,11M
10,7M
11,44M
12,1M
13,34M
14,10M
15,7M
16,17M
17,6M
18,34M
19,1M
20,7M
21,6M
22,8M
23,6M
24,11M
25,1M
26,6M
27,37M
