,team
0,6M
1,2M
2,40M
3,10M
4,34M
5,6M
6,10M
7,3M
8,10M
9,8M
10,8M
11,7M
12,3M
13,7M
14,5M
15,37M
16,37M
17,10M
18,5M
19,10M
20,4M
21,10M
22,14M
23,7M
24,4M
25,1M
26,7M
27,2M
28,3M
29,56M
30,14M
31,5M
32,32M
33,48F
34,8M
35,7M
36,6M
37,5M
38,37M
39,34M
40,8M
41,27M
42,4M
43,6M
44,54M
45,1M
46,49M
47,10F
48,56M
49,6M
50,2M
51,53M
52,5M
53,48F
54,17M
55,8M
56,10F
57,31M
58,5M
59,6M
60,5F
61,17M
62,17M
63,10M
64,5M
65,48M
66,30M
67,1M
68,2M
69,10F
70,54F
71,8M
72,30M
73,53M
74,54F
75,37F
76,10M
77,37F
78,5M
79,6F
80,56F
81,2M
82,1F
83,27M
84,7F
85,1M
86,8F
87,10M
88,8M
89,27F
90,27M
91,54F
92,17M
93,5M
94,56F
95,17F
96,8M
97,4F
98,37M
99,8F
100,40M
101,54F
102,11M
103,40M
104,44M
105,54F
106,54F
107,1F
108,6M
109,8F
110,17M
111,57M
112,6M
113,56M
114,10F
115,27M
116,2F
117,48M
118,17M
119,2F
120,3F
121,53M
122,3F
123,17M
124,57M
125,8F
126,8M
127,10M
128,6M
129,40M
130,6F
131,8M
132,56F
133,48M
134,17F
135,8F
136,17M
137,54M
138,8M
139,8F
140,8M
141,30F
142,8F
143,27M
144,53F
145,10M
146,8F
147,17M
148,8F
149,30M
150,8F
151,1F
152,5F
153,30F
154,17M
155,17F
156,30F
