position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Giffnock North AC,7,M,"2,3,11",16,0,16,5,https://www.giffnocknorth.co.uk/
2,Cambuslang Harriers,6,M,"6,8",14,31,45,2,https://cambuslangharriers.org/
3,Garscube Harriers,9,M,"4,12",16,31,47,2,https://www.garscubeharriers.org.uk/
4,VP-Glasgow,54,M,"1,21",22,31,53,2,https://www.vp-glasgow.com
5,Ayr Seaforth AC,14,M,"13,18",31,31,62,2,https://www.ayrseaforth.co.uk/
6,Inverclyde AC,4,M,"15,17",32,31,63,2,https://www.inverclydeac.org/
7,Springburn Harriers,48,M,5,5,62,67,1,https://www.springburnharriers.co.uk/
8,Kilbarchan AAC,34,M,7,7,62,69,1,https://kilbarchanaac.org.uk/
9,Law & District AAC,37,M,9,9,62,71,1,http://www.lawaac.co.uk/
10,Airdrie Harriers,11,M,10,10,62,72,1,http://airdrieharriers.org/
11,Kilmarnock H&AC,2,M,19,19,62,81,1,http://www.kilmarnockharriers.com/
12,Shettleston Harriers,10,M,20,20,62,82,1,http://shettlestonharriers.org.uk/
