position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Ayr Seaforth AC,14,F,1,1,24,25,1,https://www.ayrseaforth.co.uk/
2,East Kilbride AC,1,F,2,2,24,26,1,http://www.ekac.org.uk/
