position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Giffnock North AC,7,M,"3,5,8",16,0,16,8,https://www.giffnocknorth.co.uk/
2,Law & District AAC,37,M,"1,6,11",18,0,18,8,http://www.lawaac.co.uk/
3,Ayr Seaforth AC,14,M,"7,10,15",32,0,32,6,https://www.ayrseaforth.co.uk/
4,East Kilbride AC,1,M,"17,18,28",63,0,63,3,http://www.ekac.org.uk/
5,Kilmarnock H&AC,2,M,"21,30,31",82,0,82,6,http://www.kilmarnockharriers.com/
6,Shettleston Harriers,10,M,"13,29,40",82,0,82,3,http://shettlestonharriers.org.uk/
7,Motherwell AC,40,M,"19,34,35",88,0,88,6,https://motherwellac.com/
8,Bellahouston Harriers,8,M,"2,20",22,68,90,2,http://www.bellahoustonharriers.co.uk/
9,Cambuslang Harriers,6,M,"26,37,38",101,0,101,5,https://cambuslangharriers.org/
10,Greenock Glenpark Harriers,30,M,4,4,136,140,1,https://greenockglenparkharriers.com/
11,Inverclyde AC,4,M,"33,39",72,68,140,2,https://www.inverclydeac.org/
12,Airdrie Harriers,11,M,"24,53",77,68,145,2,http://airdrieharriers.org/
13,Strathaven Striders,50,M,16,16,136,152,1,
14,Springburn Harriers,48,M,22,22,136,158,1,https://www.springburnharriers.co.uk/
15,Helensburgh AAC,32,M,"48,50",98,68,166,2,https://www.helensburghaac.com/
16,Larkhall YMCA,36,M,32,32,136,168,1,https://www.larkhallymcaharriers.org
17,North Ayrshire AAC,44,M,55,55,136,191,1,https://naathletics.co.uk/
