position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,East Kilbride AC,1,M,"2,4,8,9",23,0,23,4,http://www.ekac.org.uk/
2,Bellahouston Harriers,8,M,"10,12,13,17",52,0,52,5,http://www.bellahoustonharriers.co.uk/
3,Law & District AAC,37,M,"7,19,21,22",69,0,69,4,http://www.lawaac.co.uk/
4,Shettleston Harriers,10,M,"3,5,25",33,37,70,3,http://shettlestonharriers.org.uk/
5,Motherwell AC,40,M,"15,18,24,26",83,0,83,4,https://motherwellac.com/
6,Kilmarnock H&AC,2,M,1,1,111,112,1,http://www.kilmarnockharriers.com/
7,Calderglen Harriers,17,M,"16,23",39,74,113,2,http://www.calderglenharriers.org.uk/
8,Westerlands CCC,5,M,6,6,111,117,1,https://westerlandsccc.co.uk/
9,Ayr Seaforth AC,14,M,11,11,111,122,1,https://www.ayrseaforth.co.uk/
10,Cambuslang Harriers,6,M,14,14,111,125,1,https://cambuslangharriers.org/
11,Whitemoss AAC,57,M,20,20,111,131,1,https://whitemossaac.co.uk/
