,times
0,0:24:54
1,0:25:27
2,0:25:28
3,0:25:37
4,0:26:02
5,0:26:02
6,0:26:38
7,0:26:58
8,0:27:16
9,0:27:28
10,0:27:36
11,0:27:48
12,0:28:04
13,0:28:04
14,0:28:36
15,0:28:38
16,0:28:43
17,0:28:51
18,0:28:58
19,0:29:04
20,0:29:19
21,0:29:20
22,0:29:40
23,0:29:48
24,0:29:57
25,0:30:12
26,0:30:15
27,0:30:17
28,0:30:19
29,0:30:21
30,0:30:22
31,0:30:23
32,0:30:39
33,0:30:41
34,0:30:48
35,0:30:53
36,0:30:55
37,0:30:56
38,0:30:57
39,0:30:58
40,0:31:10
41,0:31:11
42,0:31:22
43,0:31:23
44,0:31:39
45,0:31:40
46,0:32:07
47,0:32:11
48,0:32:14
49,0:32:15
50,0:32:25
51,0:32:30
52,0:32:34
53,0:32:36
54,0:32:39
55,0:32:44
56,0:32:47
57,0:32:47
58,0:32:48
59,0:32:49
60,0:32:53
61,0:33:06
62,0:33:11
63,0:33:15
64,0:33:28
65,0:33:29
66,0:33:45
67,0:33:59
68,0:33:59
69,0:34:06
70,0:34:12
71,0:34:21
72,0:34:23
73,0:34:34
74,0:34:37
75,0:34:38
76,0:34:46
77,0:34:49
78,0:34:52
79,0:34:56
80,0:35:04
81,0:35:10
82,0:35:14
83,0:35:22
84,0:35:35
85,0:35:38
86,0:35:39
87,0:35:41
88,0:35:50
89,0:35:55
90,0:35:57
91,0:35:59
92,0:36:03
93,0:36:05
94,0:36:12
95,0:36:21
96,0:36:27
97,0:36:28
98,0:36:29
99,0:36:33
100,0:36:39
101,0:36:45
102,0:36:52
103,0:37:01
104,0:37:02
105,0:37:03
106,0:37:12
107,0:37:14
108,0:37:15
109,0:37:38
110,0:37:43
111,0:37:46
112,0:37:50
113,0:37:59
114,0:38:00
115,0:38:00
116,0:38:02
117,0:38:02
118,0:38:07
119,0:38:08
120,0:38:09
121,0:38:15
122,0:38:21
123,0:38:25
124,0:38:31
125,0:38:49
126,0:38:50
127,0:38:51
128,0:38:56
129,0:39:14
130,0:39:25
131,0:39:26
132,0:39:32
133,0:39:49
134,0:39:58
135,0:40:07
136,0:40:08
137,0:40:16
138,0:40:29
139,0:40:43
140,0:40:52
141,0:41:02
142,0:41:13
143,0:41:37
144,0:41:40
145,0:41:54
146,0:42:16
147,0:42:19
148,0:43:28
149,0:43:49
150,0:44:09
151,0:44:22
152,0:44:45
153,0:45:10
154,0:45:24
155,0:47:40
156,0:48:57
157,0:48:57
158,0:49:55
159,0:51:11
160,0:54:54
161,0:56:04
