,team
0,7F
1,34F
2,37F
3,7F
4,11F
5,7F
6,44F
7,14F
8,32F
9,6F
10,11F
11,7F
12,7F
13,2F
14,1F
15,4F
16,48F
17,48F
18,2F
19,44F
20,44F
21,7F
22,7F
23,1F
24,7F
25,10F
26,40F
27,7F
28,37F
29,48F
30,36F
31,14F
32,7F
33,54F
34,44F
35,1F
36,37F
37,2F
38,44F
39,17F
40,2F
41,1F
42,37F
43,1F
44,54F
45,44F
46,10F
47,44F
