,times
0,0:19:30
1,0:20:03
2,0:20:43
3,0:21:03
4,0:21:14
5,0:21:25
6,0:21:42
7,0:22:03
8,0:22:25
9,0:22:32
10,0:22:37
11,0:24:15
12,0:24:18
13,0:24:23
14,0:24:57
15,0:26:33
16,0:27:32
17,0:29:46
18,0:30:22
