,team
0,48M
1,9M
2,54M
3,54M
4,7M
5,48M
6,1M
7,9M
8,34M
9,40M
10,2M
11,11M
12,37M
13,7F
14,32M
15,36M
16,4F
17,14M
18,48F
19,54F
20,1F
21,32M
22,32M
23,7F
24,7F
25,10F
26,2F
27,14F
28,37F
29,48F
30,57M
31,10M
32,11F
33,57F
34,2F
35,2F
36,8F
