,team
0,4M
1,2M
2,54M
3,54M
4,10M
5,3M
6,10M
7,8M
8,3M
9,8M
10,1M
11,8M
12,5M
13,37M
14,6M
15,10M
16,6M
17,6M
18,8M
19,5M
20,3M
21,8M
22,8M
23,10M
24,32M
25,6M
26,54M
27,4M
28,6M
29,37M
30,8M
31,34M
32,3M
33,1M
34,1M
35,17M
36,14M
37,32M
38,3M
39,2M
40,6M
41,9F
42,32F
43,44M
44,14M
45,27M
46,10F
47,3M
48,53M
49,7M
50,44M
51,17M
52,14F
53,17M
54,3M
55,7M
56,6M
57,8F
58,3M
59,8M
60,27M
61,3F
62,2M
63,6M
64,9F
65,2M
66,40M
67,37M
68,6F
69,37F
70,10M
71,1F
72,6M
73,2M
74,3F
75,56F
76,57M
77,5M
78,5M
79,6M
80,37M
81,8M
82,6M
83,6M
84,2M
85,48M
86,17F
87,1M
88,53F
89,11F
90,3F
91,8M
92,2F
93,37F
94,8F
95,1M
96,8F
97,10F
98,37M
99,8M
100,37M
101,10M
102,3F
103,36F
104,34M
105,8F
106,1F
107,57M
108,3M
109,17M
110,11M
111,37F
112,37M
113,2M
114,17F
115,3M
116,3F
117,3F
118,8F
119,27F
120,8M
121,2M
122,48M
123,1M
124,30F
125,2M
126,37M
127,2F
128,6F
129,17F
130,8M
131,30M
132,2M
133,30M
134,1F
135,8F
136,17M
137,30M
138,3F
139,4F
140,7F
141,6M
142,30M
143,8M
144,30M
145,14F
146,8F
147,8F
148,27A
149,30F
150,5F
151,14F
152,30F
153,8M
154,5F
155,36M
156,3F
157,8F
158,17M
159,30F
160,27F
161,8F
