,team
0,37F
1,17F
2,10F
3,14F
4,14F
5,54F
6,7F
7,44F
8,11F
9,40F
10,37F
11,57F
12,54F
13,34F
14,4F
15,1F
16,11F
17,10F
18,11F
19,44F
20,30F
21,4F
22,48F
23,37F
24,34F
25,37F
26,4F
27,40F
28,1F
29,6F
30,17F
31,7F
32,6F
33,7F
34,11F
35,7F
36,54F
37,11F
38,17F
39,40F
40,2F
41,11F
42,1F
43,2F
44,6F
45,4F
46,10F
47,32F
48,34F
49,11F
50,54F
51,7F
52,32F
53,11F
54,2F
55,17F
56,1F
57,4F
58,32F
59,7F
60,34F
61,1F
62,7F
63,4F
64,1F
65,57F
66,32F
67,1F
68,32F
69,11F
