1,2,3,Total,Club name,Website
36,20,25,81,VP-Glasgow,https://www.vp-glasgow.com
25,31,36,92,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
26,42,26,94,Law & District AAC,http://www.lawaac.co.uk/
36,29,36,101,Giffnock North AC,https://www.giffnocknorth.co.uk/
