,team
0,6M
1,4M
2,4M
3,7M
4,1M
5,6M
6,2M
7,6M
8,6M
9,6M
10,7M
11,6M
12,10M
13,1M
14,3M
15,2M
16,40M
17,6M
18,30M
19,14M
20,1M
21,34M
22,10M
23,1M
24,6M
25,4M
26,10M
27,35M
28,35M
29,3M
30,6M
31,6M
32,10M
33,37M
34,6F
35,8M
36,37M
37,4M
38,1M
39,10M
40,8M
41,4M
42,37M
43,5M
44,14F
45,35M
46,7M
47,14F
48,53M
49,1M
50,53M
51,3M
52,35M
53,3M
54,9F
55,2F
56,10M
57,4M
58,3M
59,3M
60,14M
61,10F
62,53M
63,44M
64,3M
65,44M
66,10M
67,48F
68,42M
69,10M
70,10M
71,48M
72,14M
73,1M
74,7M
75,8M
76,56F
77,6F
78,7F
79,5M
80,3M
81,3M
82,44M
83,3M
84,10M
85,40M
86,37M
87,3M
88,14F
89,56M
90,1M
91,3M
92,8F
93,37F
94,1F
95,56M
96,5M
97,37M
98,37M
99,46M
100,57M
101,22M
102,1M
103,2M
104,14F
105,57M
106,5M
107,37F
108,46M
109,5M
110,8F
111,8F
112,1M
113,9M
114,6F
115,37F
116,8M
117,56M
118,48M
119,6F
120,3M
121,3M
122,3M
123,2M
124,10M
125,42F
126,37M
127,48M
128,5M
129,56M
130,53M
131,46M
132,44F
133,5M
134,6F
135,1F
136,37F
137,8F
138,3F
139,30M
140,3F
141,6M
142,3F
143,56F
144,42F
145,42M
146,37M
147,57F
148,56M
149,3F
150,53F
151,56F
152,1F
153,8F
154,3F
155,1F
156,30F
157,8M
158,8F
159,10M
160,36M
161,5F
