,times
0,0:16:42
1,0:17:15
2,0:17:55
3,0:18:04
4,0:18:08
5,0:18:13
6,0:18:17
7,0:18:23
8,0:18:25
9,0:18:33
10,0:18:50
11,0:19:02
12,0:19:28
13,0:19:43
14,0:19:44
15,0:20:03
16,0:20:04
17,0:20:28
18,0:21:49
19,0:22:05
20,0:22:09
21,0:22:14
22,0:22:25
23,0:22:40
24,0:22:43
25,0:22:46
26,0:23:02
27,0:23:20
28,0:24:25
29,0:24:31
30,0:24:38
31,0:25:15
32,0:25:42
33,0:27:27
