,times
0,0:24:08
1,0:24:20
2,0:24:30
3,0:24:40
4,0:25:05
5,0:25:15
6,0:25:40
7,0:25:53
8,0:25:57
9,0:26:00
10,0:26:09
11,0:26:23
12,0:26:27
13,0:26:28
14,0:26:29
15,0:26:29
16,0:26:44
17,0:26:47
18,0:26:52
19,0:26:56
20,0:27:04
21,0:27:08
22,0:27:08
23,0:27:28
24,0:27:31
25,0:27:40
26,0:27:45
27,0:27:52
28,0:27:56
29,0:28:09
30,0:28:30
31,0:28:33
32,0:28:36
33,0:28:52
34,0:28:57
35,0:28:57
36,0:28:48
37,0:29:00
38,0:29:20
39,0:29:22
40,0:29:22
41,0:29:25
42,0:29:32
43,0:29:37
44,0:29:41
45,0:29:53
46,0:29:55
47,0:29:59
48,0:30:04
49,0:30:09
50,0:30:10
51,0:30:10
52,0:30:13
53,0:30:17
54,0:30:22
55,0:30:28
56,0:30:32
57,0:30:43
58,0:30:47
59,0:30:48
60,0:30:50
61,0:30:53
62,0:30:53
63,0:30:54
64,0:30:55
65,0:30:55
66,0:31:56
67,0:31:04
68,0:31:05
69,0:31:15
70,0:31:20
71,0:31:33
72,0:31:36
73,0:31:42
74,0:31:44
75,0:31:49
76,0:31:51
77,0:32:59
78,0:32:00
79,0:32:07
80,0:32:11
81,0:32:16
82,0:32:23
83,0:32:28
84,0:32:37
85,0:32:43
86,0:32:47
87,0:32:55
88,0:32:57
89,0:33:01
90,0:33:02
91,0:33:04
92,0:33:07
93,0:33:09
94,0:33:23
95,0:33:27
96,0:33:40
97,0:33:40
98,0:33:44
99,0:33:45
100,0:33:48
101,0:33:50
102,0:33:50
103,0:33:55
104,0:34:02
105,0:34:03
106,0:34:04
107,0:34:15
108,0:34:18
109,0:34:25
110,0:34:26
111,0:34:31
112,0:34:32
113,0:34:36
114,0:34:38
115,0:34:45
116,0:34:54
117,0:34:56
118,0:35:01
119,0:35:02
120,0:35:03
121,0:35:12
122,0:35:22
123,0:35:24
124,0:35:31
125,0:35:35
126,0:35:39
127,0:35:55
128,0:36:00
129,0:36:08
130,0:36:12
131,0:36:14
132,0:36:16
133,0:36:28
134,0:36:37
135,0:37:02
136,0:37:11
137,0:37:18
138,0:37:36
139,0:37:38
140,0:37:45
141,0:38:00
142,0:38:04
143,0:38:17
144,0:38:19
145,0:38:30
146,0:38:53
147,0:38:59
148,0:39:20
149,0:39:27
150,0:39:52
151,0:40:01
152,0:41:09
153,0:41:13
154,0:41:48
155,0:42:19
156,0:53:14
157,0:44:10
158,0:44:39
159,0:44:55
160,0:45:47
161,0:46:17
