,team
0,7M
1,34M
2,34M
3,48M
4,44M
5,10M
6,6M
7,48M
8,37M
9,7M
10,14M
11,34F
12,1M
13,1M
14,1M
15,1M
16,11F
17,14M
18,14M
19,44M
20,34M
21,1M
22,34F
23,11F
24,7F
25,7M
26,36M
27,11M
28,37M
29,6M
30,7F
31,14M
32,7M
33,48M
34,1F
35,48F
36,34M
37,1M
38,7F
39,6F
40,11F
41,1F
42,11F
43,10F
44,37F
45,34M
46,44F
47,10F
48,54F
49,34F
50,1F
51,1M
52,37F
53,6F
54,1F
55,44F
56,2F
57,9F
58,36F
59,1F
60,37F
61,7F
