,team
0,2M
1,6M
2,6M
3,1M
4,1M
5,37M
6,1M
7,10M
8,37M
9,14M
10,2M
11,34F
12,47M
13,1M
14,37F
15,36M
16,1F
17,14F
18,37F
19,35F
20,11F
21,2F
22,7F
23,36F
24,11M
25,6F
26,57F
27,37F
28,2F
29,2F
30,11F
31,11M
32,11M
33,37F
