,team
0,48F
1,7F
2,14F
3,10F
4,1F
5,2F
6,34F
7,48F
8,11F
9,6F
10,54F
11,44F
12,2F
13,4F
14,37F
15,10F
16,10F
17,1F
18,7F
19,7F
20,4F
21,1F
22,11F
23,54F
24,7F
25,7F
26,37F
27,1F
28,1F
29,7F
30,11F
31,7F
32,14F
33,1F
34,11F
35,1F
36,4F
37,44F
38,36F
39,7F
40,10F
41,4F
42,11F
43,11F
44,1F
45,37F
46,37F
47,11F
48,48F
49,6F
50,7F
51,7F
52,6F
53,57F
54,48F
55,57F
56,37F
57,1F
