,team
0,7M
1,54M
2,7M
3,1M
4,37M
5,4M
6,7M
7,7M
8,2M
9,1M
10,7M
11,54M
12,2M
13,2M
14,7M
15,2M
16,1M
17,9M
18,54M
19,2M
20,54M
21,37M
22,7M
23,37M
24,4M
25,11M
26,54M
27,6M
28,10M
29,11M
30,36M
31,2M
32,1M
33,48M
34,1M
35,1M
36,1M
37,1M
38,1M
