position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Ayr Seaforth AC,14,F,"1,2,4",7,0,7,7,https://www.ayrseaforth.co.uk/
2,Kilmarnock H&AC,2,F,"7,15,17",39,0,39,4,http://www.kilmarnockharriers.com/
3,Calderglen Harriers,17,F,"9,11,19",39,0,39,4,
4,Law & District AAC,37,F,"10,14,26",50,0,50,3,http://www.lawaac.co.uk/
5,Bellahouston Harriers,8,F,"3,23,35",61,0,61,3,http://www.bellahoustonharriers.co.uk/
6,East Kilbride AC,1,F,"8,21,33",62,0,62,3,http://www.ekac.org.uk/
7,Bellahouston RR,3,F,"20,22,24",66,0,66,5,https://www.bellahoustonroadrunners.co.uk/
8,Springburn Harriers,48,F,5,5,90,95,1,https://www.springburnharriers.co.uk/
9,Giffnock North AC,7,F,12,12,90,102,1,https://www.giffnocknorth.co.uk/
10,Cambuslang Harriers,6,F,29,29,90,119,1,https://cambuslangharriers.org/
11,Westerlands CCC,5,F,30,30,90,120,1,https://westerlandsccc.co.uk/
12,Troon Tortoises,53,F,32,32,90,122,1,https://www.ayrseaforth.co.uk/
13,Ayrodynamic Triathlon Club,15,F,34,34,90,124,1,
