position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Ayr Seaforth AC,14,F,"1,2,4,6",13,0,13,7,https://www.ayrseaforth.co.uk/
2,Kilmarnock H&AC,2,F,"7,15,17,18",57,0,57,4,http://www.kilmarnockharriers.com/
3,Calderglen Harriers,17,F,"9,11,19,25",64,0,64,4,
4,Bellahouston RR,3,F,"20,22,24,27",93,0,93,5,https://www.bellahoustonroadrunners.co.uk/
5,Law & District AAC,37,F,"10,14,26",50,45,95,3,http://www.lawaac.co.uk/
6,Bellahouston Harriers,8,F,"3,23,35",61,45,106,3,http://www.bellahoustonharriers.co.uk/
7,East Kilbride AC,1,F,"8,21,33",62,45,107,3,http://www.ekac.org.uk/
8,Springburn Harriers,48,F,5,5,135,140,1,https://www.springburnharriers.co.uk/
9,Giffnock North AC,7,F,12,12,135,147,1,https://www.giffnocknorth.co.uk/
10,Cambuslang Harriers,6,F,29,29,135,164,1,https://cambuslangharriers.org/
11,Westerlands CCC,5,F,30,30,135,165,1,https://westerlandsccc.co.uk/
12,Troon Tortoises,53,F,32,32,135,167,1,https://www.ayrseaforth.co.uk/
13,Ayrodynamic Triathlon Club,15,F,34,34,135,169,1,
