position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Shettleston Harriers,10,M,"3,7,10,12",32,0,32,4,http://shettlestonharriers.org.uk/
2,Cambuslang Harriers,6,M,"2,4,8",14,31,45,3,https://cambuslangharriers.org/
3,Giffnock North AC,7,M,"1,5",6,62,68,2,https://www.giffnocknorth.co.uk/
4,Bellahouston RR,3,M,"11,14,17",42,31,73,3,https://www.bellahoustonroadrunners.co.uk/
5,Law & District AAC,37,M,"13,15,21",49,31,80,3,http://www.lawaac.co.uk/
6,Ayr Seaforth AC,14,M,"16,19",35,62,97,2,https://www.ayrseaforth.co.uk/
7,VP-Glasgow,54,M,6,6,93,99,1,
8,Greenock Glenpark Harriers,30,M,9,9,93,102,1,https://greenockglenparkharriers.com/
9,Garscube Harriers,9,M,18,18,93,111,1,https://www.garscubeharriers.org.uk/
10,Springburn Harriers,48,M,20,20,93,113,1,https://www.springburnharriers.co.uk/
