,team
0,7M
1,9M
2,9M
3,34M
4,7M
5,44M
6,2M
7,10M
8,48M
9,9M
10,6M
11,14M
12,37M
13,14M
14,2M
15,9M
16,34M
17,14M
18,1M
19,1F
20,1M
21,14M
22,10F
23,1M
24,11M
25,7M
26,37M
27,7F
28,1M
29,11F
30,2M
31,14F
32,36M
33,54F
34,34M
35,1F
36,7F
37,48F
38,54F
39,44F
40,1F
41,11F
42,6F
43,9F
44,10F
45,37F
46,1F
47,34M
48,10F
49,1M
50,44F
51,44F
52,57F
53,9F
54,57F
55,9F
56,2F
57,2F
58,6F
