,times
0,0:25:35
1,0:26:03
2,0:26:28
3,0:26:30
4,0:26:45
5,0:26:48
6,0:27:05
7,0:27:08
8,0:27:43
9,0:27:57
10,0:27:58
11,0:28:03
12,0:28:13
13,0:28:19
14,0:28:25
15,0:28:38
16,0:28:43
17,0:28:44
18,0:29:09
19,0:29:11
20,0:29:15
21,0:29:23
22,0:29:24
23,0:29:26
24,0:29:38
25,0:29:48
26,0:29:49
27,0:30:09
28,0:30:16
29,0:30:31
30,0:30:34
31,0:30:36
32,0:30:37
33,0:30:45
34,0:30:48
35,0:30:52
36,0:31:06
37,0:31:09
38,0:31:22
39,0:31:34
40,0:31:36
41,0:31:37
42,0:31:39
43,0:31:48
44,0:31:51
45,0:31:53
46,0:31:57
47,0:32:04
48,0:32:11
49,0:32:17
50,0:32:18
51,0:32:21
52,0:32:23
53,0:32:27
54,0:32:29
55,0:32:38
56,0:32:40
57,0:32:48
58,0:32:49
59,0:32:56
60,0:33:20
61,0:33:31
62,0:33:37
63,0:34:01
64,0:34:03
65,0:34:09
66,0:34:16
67,0:34:33
68,0:34:41
69,0:34:52
70,0:34:54
71,0:35:00
72,0:35:04
73,0:35:08
74,0:35:11
75,0:35:18
76,0:35:22
77,0:35:30
78,0:35:43
79,0:35:58
80,0:36:04
81,0:36:10
82,0:36:12
83,0:36:16
84,0:36:19
85,0:36:24
86,0:36:26
87,0:36:31
88,0:36:34
89,0:36:34
90,0:36:35
91,0:36:51
92,0:36:53
93,0:36:54
94,0:36:58
95,0:37:00
96,0:37:02
97,0:37:08
98,0:37:10
99,0:37:19
100,0:37:26
101,0:37:28
102,0:37:31
103,0:37:31
104,0:37:38
105,0:37:49
106,0:37:57
107,0:37:57
108,0:38:03
109,0:38:06
110,0:38:12
111,0:38:16
112,0:38:20
113,0:38:28
114,0:38:33
115,0:38:38
116,0:38:42
117,0:38:46
118,0:39:04
119,0:39:08
120,0:39:11
121,0:39:18
122,0:39:22
123,0:39:28
124,0:39:30
125,0:39:39
126,0:39:41
127,0:39:44
128,0:39:52
129,0:39:56
130,0:39:59
131,0:40:10
132,0:40:20
133,0:40:25
134,0:40:55
135,0:41:01
136,0:41:03
137,0:41:07
138,0:41:12
139,0:41:32
140,0:41:36
141,0:42:08
142,0:42:19
143,0:42:40
144,0:43:24
145,0:44:06
146,0:44:22
147,0:44:25
148,0:44:45
149,0:44:53
150,0:47:27
151,0:48:47
152,0:50:07
153,0:52:38
